pais;total_mortes_por_milhao;total_casos_por_milhao
Tanzânia;82.0;2.0
Vietnã;49.0;2.2
Camboja;0.0;3.7
Fiji;306.0;8.3
Tailândia;216.0;13.5
Uzbequistão;0.0;20.0
China;994.0;20.0
República Democrática do Congo;1.0;21.9
Mongólia;4.0;27.0
Angola;1.0;37.2
Uganda;421.0;41.6
Moçambique;375.0;49.4
Nigéria;948.0;49.9
Ruanda;387.0;60.6
Nova Zelândia;1.2;73.2
Maurício;2.1;82.4
Brunei;1.5;90.2
Sri Lanka;404.0;93.4
Etiópia;1.6;101.4
Cuba;2.4;107.5
Coreia do Sul;2.0;115.1
Nicarágua;4.2;115.3
Zâmbia;2.6;120.0
Costa do Marfim;788.0;121.5
Japão;2.9;145.5
Senegal;2.9;157.7
Quênia;2.9;162.0
Malásia;1.4;178.5
Egito;10.0;185.3
Austrália;5.3;192.5
Uruguai;3.5;213.6
Indonésia;7.7;217.2
Argélia;8.2;230.5
Gana;937.0;263.6
Paquistão;5.6;269.8
Botsuana;1.3;380.4
Bangladesh;5.7;406.2
Venezuela;3.7;428.0
Trinidad e Tobago;8.6;457.5
Filipinas;9.1;465.5
Tunísia;18.3;622.8
Finlândia;17.4;645.3
Guiana;19.6;652.6
Letônia;12.0;750.3
Índia;11.9;753.5
Grécia;19.3;764.2
Bermudas;35.3;788.0
Noruega;13.1;816.6
Marrocos;14.2;838.3
Laos;0.0;850.0
Líbia;15.3;1037871.0
Chipre;8.3;1049746.0
Paraguai;24.5;1180019.0
Suriname;24.5;1194302.0
Canadá;59.3;1199608.0
Azerbaijão;15.2;1215372.0
Jordânia;15.0;1224919.0
México;146.1;1252866.0
Albânia;30.4;1277229.0
Cazaquistão;16.9;1281582.0
Alemanha;42.2;1333408.0
Mônaco;10.4;1334720.0
Honduras;38.9;1355057.0
Ucrânia;19.9;1455372.0
Eslováquia;12.2;1514211.0
Bulgária;46.5;1514870.0
Dinamarca;30.0;1533407.0
Equador;115.2;1572277.0
Hungria;46.7;1605790.0
Malta;21.7;1740497.0
Lituânia;21.1;1757110.0
Polônia;36.7;1812439.0
Bolívia;100.9;1847347.0
República Dominicana;33.6;1869357.0
Líbano;16.1;1893457.0
Bahamas;43.6;1918059.0
Porto Rico;45.5;1943825.0
Turquia;23.5;1945373.0
África do Sul;52.5;1951623.0
Arábia Saudita;26.8;2003677.0
Irlanda;89.9;2027177.0
Rússia;34.3;2032368.0
Estônia;29.8;2042336.0
Islândia;9.6;2106547.0
Romênia;64.3;2149219.0
Emirados Árabes Unidos;9.7;2152467.0
Singapura;1.2;2201827.0
Bielorrússia;18.7;2207003.0
Kosovo;67.1;2249440.0
Sérvia;30.0;2292401.0
Áustria;45.7;2300179.0
França;106.1;2331147.0
Bósnia e Herzegovina;77.0;2478502.0
Croácia;39.2;2485554.0
Itália;176.3;2503743.0
Eslovênia;58.2;2517914.0
Portugal;58.3;2562960.0
Reino Unido;228.8;2570891.0
Países Baixos;102.9;2758757.0
Liechtenstein;32.3;2769499.0
Costa Rica;33.6;2795322.0
Suécia;141.5;2883390.0
Colômbia;87.0;2939317.0
Macedônia do Norte;113.0;3060341.0
Suíça;75.4;3342911.0
Maldivas;12.0;3393295.0
Argentina;113.8;3446802.0
Tchéquia;57.9;3803905.0
Espanha;192.7;3971089.0
Omã;36.6;4001120.0
Luxemburgo;48.3;4142022.0
Brasil;126.9;4163742.0
Peru;452.2;4277066.0
Kuwait;28.6;4507969.0
Israel;37.1;4515349.0
Chile;122.2;4657174.0
Bélgica;253.5;4657778.0
Estados Unidos;137.9;4975750.0
Panamá;100.7;5064114.0
Bahrein;30.6;8373134.0
Catar;14.2;9117655.0
