pais;universalismo_particularismo;individualismo_comunitarismo;especifico_difuso;neutro_afetivo;realizacao_atribuicao;passado_presente_futuro;sequencial_sincronico;internalismo_externalismo
Tanzânia;6;5;5;52;52;78;45;15
Vietnã;21;29;49;69;15;80;26;50
Camboja;15;27;33;78;17;53;31;30
Fiji;28;12;45;49;16;84;47;18
Tailândia;11;37;36;72;43;70;36;41
Uzbequistão;36;13;13;5;33;78;14;61
China;25;23;21;90;22;28;37;17
República Democrática do Congo;32;28;27;43;30;74;25;33
Mongólia;18;16;42;77;7;79;56;11
Angola;43;35;49;80;9;92;25;11
Uganda;44;30;29;13;22;65;19;54
Moçambique;5;9;13;31;13;84;46;17
Nigéria;37;20;11;18;18;85;27;10
Ruanda;33;8;24;71;6;95;9;55
Nova Zelândia;46;50;56;63;73;9;65;70
Maurício;15;36;12;60;31;56;35;78
Brunei;47;22;10;46;48;73;51;47
Sri Lanka;19;40;30;47;20;74;20;74
Etiópia;28;49;15;81;32;76;33;35
Cuba;25;15;14;39;15;88;12;68
Coreia do Sul;34;42;18;79;11;23;26;20
Nicarágua;50;7;19;6;27;90;17;7
Zâmbia;49;21;25;68;20;93;18;15
Costa do Marfim;24;32;74;56;46;58;13;29
Japão;33;15;17;76;29;8;58;7
Senegal;9;44;7;16;12;75;13;14
Quênia;38;36;23;27;50;94;35;45
Malásia;31;14;31;84;8;68;43;38
Egito;34;31;42;24;25;81;8;18
Austrália;79;65;81;41;85;6;84;90
Uruguai;36;42;10;34;39;89;34;63
Indonésia;32;33;35;58;43;69;10;44
Argélia;17;26;23;34;40;86;21;33
Gana;27;6;8;31;28;72;11;67
Paquistão;36;34;36;14;34;63;74;13
Botsuana;47;35;50;53;8;88;48;6
Bangladesh;39;12;61;75;21;92;21;23
Venezuela;39;25;40;46;16;61;22;26
Trinidad e Tobago;22;14;27;62;32;72;24;23
Filipinas;35;31;35;45;40;64;18;29
Tunísia;29;7;20;23;35;63;31;13
Finlândia;57;90;92;91;88;10;90;36
Guiana;30;10;78;33;28;87;25;12
Letônia;20;57;95;87;14;60;83;36
Índia;13;9;9;25;10;76;17;26
Grécia;20;24;26;26;36;57;28;55
Bermudas;8;6;16;9;44;66;42;46
Noruega;82;95;94;94;89;17;92;40
Marrocos;21;39;7;19;49;59;15;25
Laos;32;43;6;30;13;89;48;35
Líbia;48;29;26;23;24;55;8;19
Chipre;13;30;28;28;19;61;19;19
Paraguai;29;11;45;15;23;54;41;10
Suriname;11;34;46;82;7;86;5;59
Canadá;90;67;76;67;82;5;59;88
Azerbaijão;9;19;80;44;56;94;6;12
Jordânia;41;48;53;70;47;73;23;75
México;18;39;30;35;42;66;42;22
Albânia;15;45;12;66;46;70;20;30
Cazaquistão;51;58;15;49;59;71;66;86
Alemanha;93;78;88;88;92;26;93;37
Mônaco;31;75;59;26;45;50;78;71
Honduras;13;18;8;17;35;82;46;8
Ucrânia;42;21;32;39;67;65;50;33
Eslováquia;23;43;62;50;50;51;79;49
Bulgária;23;62;48;9;38;85;7;43
Dinamarca;86;76;79;83;83;13;89;65
Equador;17;13;6;38;45;58;15;62
Hungria;54;66;65;42;37;49;77;32
Malta;25;63;58;54;49;59;55;87
Lituânia;7;80;20;61;64;38;76;32
Polônia;40;61;70;29;39;52;85;49
Bolívia;16;17;19;53;37;83;24;82
República Dominicana;10;10;82;11;18;37;10;8
Líbano;27;40;37;73;38;93;39;76
Bahamas;9;8;24;10;44;67;43;46
Porto Rico;20;24;32;7;9;41;7;14
Turquia;34;20;17;43;17;77;44;69
África do Sul;81;49;69;55;79;40;40;80
Arábia Saudita;12;44;9;11;5;90;52;42
Irlanda;60;48;55;41;74;60;73;48
Rússia;26;92;86;6;16;46;32;51
Estônia;33;74;85;92;62;19;69;31
Islândia;87;94;91;95;95;33;95;77
Romênia;40;73;67;14;23;77;45;28
Emirados Árabes Unidos;11;45;14;18;14;79;12;52
Singapura;36;25;40;93;6;18;49;47
Bielorrússia;8;86;77;85;33;56;71;48
Kosovo;16;32;68;60;53;71;37;21
Sérvia;30;59;38;48;58;83;67;91
Áustria;73;54;64;59;76;27;86;43
França;55;19;71;33;25;55;64;56
Bósnia e Herzegovina;42;53;54;36;42;91;9;28
Croácia;42;70;38;43;10;52;54;38
Itália;44;27;28;12;34;62;29;44
Eslovênia;49;82;41;74;26;47;82;39
Portugal;44;28;34;48;68;45;41;42
Reino Unido;72;84;60;66;71;31;75;57
Países Baixos;75;79;93;85;80;32;88;73
Liechtenstein;70;69;75;51;61;36;62;25
Costa Rica;22;46;37;19;5;68;6;6
Suécia;65;83;89;86;86;11;94;34
Colômbia;44;22;39;21;24;54;28;21
Macedônia do Norte;6;47;51;8;11;74;29;9
Suíça;94;87;83;89;94;15;91;58
Maldivas;19;41;48;13;39;57;38;41
Argentina;12;51;63;38;19;53;81;89
Tchéquia;46;55;73;64;70;24;60;34
Espanha;35;33;18;28;30;42;63;95
Omã;41;38;43;22;27;80;53;16
Luxemburgo;63;38;52;66;55;35;30;83
Brasil;42;28;34;21;41;69;16;81
Peru;45;23;22;57;28;62;36;84
Kuwait;22;37;29;8;47;67;38;31
Israel;95;88;84;24;77;51;80;93
Chile;53;41;43;36;36;29;61;24
Bélgica;55;71;66;37;65;44;40;37
Estados Unidos;92;91;90;65;91;14;68;94
Panamá;26;26;46;32;31;75;30;24
Bahrein;28;46;31;29;30;87;47;5
Catar;32;11;41;40;48;64;32;45
